"title","price","thumbnail","url","id"
"Hạt charm Hợp kim cao cấp Mother of Pearl Style by PNJ chữ Q PM00Y000017","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000017-hat-charm-hop-kim-cao-cap-dinh-ngoc-trai-mother-of-pearl-style-by-pnj-chu-q-01.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-mother-of-pearl-style-by-pnj-chu-q-pm00y000017.html","63770"
"Hạt charm Hợp kim cao cấp Mother of Pearl Style by PNJ chữ P PM00Y000016","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000016-hat-charm-hop-kim-cao-cap-dinh-ngoc-trai-mother-of-pearl-style-by-pnj-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-mother-of-pearl-style-by-pnj-chu-p-pm00y000016.html","63768"
"Hạt charm Hợp kim cao cấp Mother of Pearl Style by PNJ chữ O PM00Y000015","279.000","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000015-hat-charm-hop-kim-cao-cap-dinh-ngoc-trai-mother-of-pearl-style-by-pnj-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-mother-of-pearl-style-by-pnj-chu-o-pm00y000015.html","63766"
"Hạt charm Hợp kim cao cấp Mother of Pearl Style by PNJ chữ M PM00Y000013","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000013-hat-charm-hop-kim-cao-cap-dinh-ngoc-trai-mother-of-pearl-style-by-pnj-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-mother-of-pearl-style-by-pnj-chu-m-pm00y000013.html","63763"
"Hạt charm hợp kim cao cấp Mother of Pearl Style by PNJ chữ L PM00Y000012","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000012-hat-charm-hop-kim-cao-cap-dinh-ngoc-trai-mother-of-pearl-style-by-pnj-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-mother-of-pearl-style-by-pnj-chu-l-pm00y000012.html","63762"
"Hạt charm hợp kim cao cấp STYLE By PNJ General chữ J PM00Y000010","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000010-hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-j-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-j-pm00y000010.html","63711"
"Hạt charm hợp kim cao cấp STYLE By PNJ General chữ I PM00Y000009","279.000","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000009-hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-i-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-i-pm00y000009.html","63710"
"Hạt charm hợp kim cao cấp STYLE By PNJ General chữ H PM00Y000008","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000008-hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-h-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-h-pm00y000008.html","63692"
"Hạt charm hợp kim cao cấp STYLE By PNJ General chữ G PM00Y000007","325.500","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000007-hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-g-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-g-pm00y000007.html","63691"
"Hạt charm hợp kim cao cấp STYLE By PNJ General chữ F PM00Y000006","279.000","https://cdn.pnj.io/images/thumbnails/300/300/detailed/133/tipm00y000006-hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-f-1.png","https://www.pnj.com.vn/hat-charm-hop-kim-cao-cap-style-by-pnj-general-chu-f-pm00y000006.html","63690"
